Feature,Reach,Impact,Confidence,Effort,Ease
Visualize turn-key bandwidth,7370,4.186171947440931,59.17173949330819,8.017219002454922,6.371651421518383
Engineer efficient users,6365,1.6239780813448106,52.90418060840997,8.795585311974417,6.41003510568888
Facilitate innovative metrics,8422,1.0823379771832098,98.49549260809971,8.491983767203795,2.9110519961044856
Embrace 24/365 networks,5411,4.96884623716487,80.87407548138583,6.504878444394528,1.0635967469774568
Seize rich metrics,8766,3.447411578889518,56.97469303260209,3.629301836816963,4.297256589643226
Reinvent seamless initiatives,289,1.3624257381312832,80.91930046665436,4.442157921404465,9.849077972261094
Orchestrate web-enabled methodologies,1628,1.185801650879991,80.37724259507192,2.5347171131856236,1.5854643368675156
Transition seamless niches,8892,4.862528132298237,90.41986740582306,3.741523922560336,1.8790490260574548
Matrix one-to-one niches,9655,1.9641018641040469,84.16317594127291,6.489969920043588,8.49875420562548
Implement virtual bandwidth,8326,4.637281608315128,62.93899908000085,6.962700559185838,3.8053996848046987
Utilize front-end synergies,3943,1.7394178221021082,98.47923138822793,7.976195410250031,9.455490474077703
Enable efficient niches,1095,3.3915999152443406,96.09371175115584,1.7964325184672756,2.763845761772307
Drive back-end e-services,1116,4.8446880973973965,92.22669243390757,7.725880991236428,5.857229191501718
Evolve holistic roi,4987,2.427013306774357,64.04672548436903,5.884264748424236,2.2683180247728636
Synthesize global vortals,2162,1.66106775625201,50.7818203370597,4.810613326357327,4.5539336635801275
Envisioneer turn-key vortals,2795,1.0220884684944096,90.77307142274171,7.361716094628554,7.561064512368886
Disintermediate world-class infrastructures,5992,4.705203514053396,82.55385127509723,9.234637079894027,8.650347200108193
Redefine synergistic mindshare,3204,1.2542334011440945,65.54911608578311,3.9266498982407234,7.566455605042576
Incentivize impactful interfaces,8254,3.2449737033908046,69.14634373768949,9.745408858501934,8.640224418394755
Visualize efficient architectures,1128,3.245108790277985,88.54835899772806,5.444160367279517,5.704595464437946
Streamline impactful relationships,5234,1.4435632832473253,71.9668250932885,2.8154728210185658,9.061872361061674
Harness out-of-the-box e-commerce,7508,2.2574239243053067,75.42853455823514,9.168098265334837,3.2436300623398746
Grow world-class mindshare,6992,3.1593643652066925,60.153061236738466,9.485682135021829,6.389789198396824
Re-contextualize plug-and-play e-business,3257,4.52187135606103,81.21770240668965,3.660703172539426,1.9494483384724355
Re-intermediate bricks-and-clicks deliverables,3727,2.666039791481465,94.16401294594341,3.9191051890474657,2.09879159230606
Disintermediate sticky portals,5692,2.2720138998874555,55.50259622638384,3.051416462877475,4.843970097636307
Re-contextualize robust schemas,5964,2.219125032632116,58.23279265714709,5.8068047743789775,5.363469742230849
Innovate vertical infrastructures,763,4.771638815650077,66.16014660103777,5.669115595690295,7.3271706300566
Target transparent methodologies,5332,1.2595689884359262,62.69577069671723,3.221884565547411,7.266738455558095
Whiteboard end-to-end initiatives,7654,2.2035132392670786,64.24202471887338,1.3319825261907952,6.486079005819072
Revolutionize distributed models,4837,2.644148053272925,51.65253664502742,4.105641232240147,6.709162102312274
Drive wireless partnerships,5349,3.1237383332685456,72.38915822865458,5.976037801641952,6.334270514914542
Benchmark real-time supply-chains,3610,4.04647846131487,61.881877199619986,7.553947137506736,4.3100481944732785
Exploit scalable architectures,3031,4.933692563579372,69.94122212222766,8.347886858974455,8.18510612486096
Embrace bleeding-edge partnerships,9439,3.0327951069628747,84.7906403395441,8.72522924332348,3.933630146816963
Target world-class bandwidth,6646,3.8445981297520713,90.47505230698577,4.137993885625564,1.8655889598227868
Extend strategic deliverables,8780,3.763750952409864,69.33676731502686,9.43056989863061,2.2376884973139393
Incentivize magnetic functionalities,8255,3.9408644769630885,60.45358103688568,5.8730317644480925,7.2620595941057395
Innovate value-added solutions,362,3.639936184136716,90.8611100100608,5.996807304395161,5.766855205204059
Integrate back-end content,2149,4.985014799031697,98.27096756443967,6.024641082463878,8.943727088704058
Brand open-source e-commerce,7258,2.3561191641948027,67.46047873063304,7.533601109832154,9.073992339573193
Envisioneer dynamic technologies,6395,2.6180325084887603,94.38850493804799,8.658356038907614,9.420714947988527
Empower impactful methodologies,5639,4.5942167541083165,80.3214529829795,1.0827734645496667,1.913243885794289
E-enable vertical communities,198,4.894655347021269,64.19604873687328,3.748274743099541,5.37052378227604
Transform plug-and-play systems,1056,1.8970772378422391,85.6089610673768,3.135241787471201,3.9285972834334095
Cultivate rich mindshare,4087,2.4658751383314397,87.20852615282811,7.488459318269164,3.772547126671503
Leverage bricks-and-clicks info-mediaries,4655,3.03525630735504,81.81663090929477,3.2541563674502574,6.308837628044895
Drive 24/365 portals,3536,2.9469686118378204,95.3049393859277,4.909549289593858,4.150705669252082
Optimize bricks-and-clicks partnerships,7122,2.9700707752754556,59.76214938990223,7.502069037353548,3.526951261967702
Orchestrate impactful web services,4742,4.074216057225236,52.18018858772169,9.95095459717607,5.229500625918487
Transform rich action-items,1169,4.659457560881794,68.50793501277222,1.1391095487598069,9.354867063289529
Unleash vertical methodologies,401,4.866619276174678,98.18099885446264,8.677085099206241,3.6500400286262713
Synergize robust supply-chains,1080,1.763644124601384,63.42374284450784,5.367518868486841,4.354181803846444
Orchestrate holistic vortals,5954,4.3768525629052455,96.5008417405416,1.633745177645895,2.8802684585382416
Maximize rich roi,4114,4.960215400417053,57.0042007618262,5.664966871273631,8.8963576473516
Implement proactive e-tailers,884,4.394679179698698,56.83106657210144,7.380198972191067,5.97537979217117
Grow next-generation portals,5901,4.2374446219140545,90.50566973395904,8.803650867220934,9.219164973008242
Matrix bleeding-edge roi,5725,1.020739451095947,81.3947207474318,2.74846558160838,1.638468252999349
